,word1,word2,cosine_similarity
0,old,new,-0.07635
1,smart,intelligent,-0.05765
2,hard,difficult,0.01435
3,happy,cheerful,-0.17517
4,hard,easy,-0.14758
5,fast,rapid,-0.02698
6,happy,glad,-0.09191
7,short,long,-0.06983
8,stupid,dumb,-0.29697
9,weird,strange,0.16134
10,wide,narrow,0.1367
11,bad,awful,0.0223
12,easy,difficult,0.02013
13,bad,terrible,-0.31528
14,hard,simple,-0.23981
15,smart,dumb,-0.16036
16,insane,crazy,0.02353
17,happy,mad,0.05336
18,large,huge,0.2087
19,hard,tough,0.12602
20,new,fresh,0.05269
21,sharp,dull,0.01925
22,quick,rapid,0.06222
23,dumb,foolish,0.13051
24,wonderful,terrific,-0.25957
25,strange,odd,0.13279
26,happy,angry,-0.05259
27,narrow,broad,0.08305
28,simple,easy,0.07464
29,old,fresh,0.21855
30,apparent,obvious,-0.28322
31,inexpensive,cheap,-0.05623
32,nice,generous,0.085
33,weird,normal,0.32673
34,weird,odd,0.21383
35,bad,immoral,0.01396
36,sad,funny,-0.33894
37,wonderful,great,-0.1366
38,guilty,ashamed,-0.06099
39,beautiful,wonderful,0.0157
40,confident,sure,-0.03698
41,dumb,dense,0.02605
42,large,big,-0.07353
43,nice,cruel,-0.01017
44,impatient,anxious,-0.07017
45,big,broad,-0.08864
46,strong,proud,0.01827
47,unnecessary,necessary,0.13389
48,restless,young,-0.02664
49,dumb,intelligent,0.05996
50,bad,great,0.05126
51,difficult,simple,0.10889
52,necessary,important,0.08371
53,bad,terrific,0.00824
54,mad,glad,0.00495
55,honest,guilty,0.07279
56,easy,tough,0.04915
57,easy,flexible,-0.1843
58,certain,sure,-0.03513
59,essential,necessary,-0.03529
60,different,normal,0.05302
61,sly,clever,-0.53038
62,crucial,important,-0.2822
63,harsh,cruel,-0.28027
64,childish,foolish,-0.11464
65,scarce,rare,0.2404
66,friendly,generous,0.02405
67,fragile,frigid,0.14822
68,long,narrow,0.07824
69,big,heavy,-0.03906
70,rough,frigid,0.0607
71,bizarre,strange,-0.19137
72,illegal,immoral,0.23519
73,bad,guilty,0.15524
74,modern,ancient,-0.12534
75,new,ancient,0.1405
76,dull,funny,-0.10898
77,happy,young,-0.33518
78,easy,big,0.19531
79,great,awful,-0.22244
80,tiny,huge,0.03806
81,polite,proper,-0.1562
82,modest,ashamed,-0.08077
83,exotic,rare,-0.00171
84,dumb,clever,-0.11816
85,delightful,wonderful,-0.36221
86,noticeable,obvious,0.03755
87,afraid,anxious,0.0906
88,formal,proper,0.30053
89,dreary,dull,0.06031
90,delightful,cheerful,-0.03342
91,unhappy,mad,0.21657
92,sad,terrible,-0.06154
93,sick,crazy,0.13556
94,violent,angry,0.15939
95,laden,heavy,-0.1193
96,dirty,cheap,-0.03819
97,elastic,flexible,0.09678
98,hard,dense,0.19785
99,recent,new,0.01555
100,bold,proud,-0.20901
101,sly,strange,0.04562
