,word1,word2,cosine_similarity
0,old,new,0.4823
1,smart,intelligent,0.22135
2,hard,difficult,0.41432
3,happy,cheerful,0.49929
4,hard,easy,0.33921
5,fast,rapid,0.15368
6,happy,glad,0.49399
7,short,long,0.68665
8,stupid,dumb,0.41408
9,weird,strange,0.23979
10,wide,narrow,0.44318
11,bad,awful,0.5312
12,easy,difficult,0.41087
13,bad,terrible,0.24817
14,hard,simple,0.40507
15,smart,dumb,0.59407
16,insane,crazy,0.51153
17,happy,mad,0.23848
18,large,huge,0.54036
19,hard,tough,0.30562
20,new,fresh,0.26689
21,sharp,dull,0.38755
22,quick,rapid,0.25572
23,dumb,foolish,0.39454
24,wonderful,terrific,0.23606
25,strange,odd,0.38656
26,happy,angry,0.31883
27,narrow,broad,0.38956
28,simple,easy,0.40115
29,old,fresh,0.37121
30,apparent,obvious,0.41208
31,inexpensive,cheap,0.24633
32,nice,generous,0.3438
33,weird,normal,0.3197
34,weird,odd,0.20081
35,bad,immoral,0.39862
36,sad,funny,0.50792
37,wonderful,great,0.4797
38,guilty,ashamed,0.31882
39,beautiful,wonderful,0.55899
40,confident,sure,0.38916
41,dumb,dense,0.0312
42,large,big,0.42432
43,nice,cruel,0.44992
44,impatient,anxious,0.33087
45,big,broad,0.27166
46,strong,proud,0.20296
47,unnecessary,necessary,0.45303
48,restless,young,0.15326
49,dumb,intelligent,0.35985
50,bad,great,0.20907
51,difficult,simple,0.45994
52,necessary,important,0.41791
53,bad,terrific,0.32042
54,mad,glad,0.16352
55,honest,guilty,0.1568
56,easy,tough,0.3343
57,easy,flexible,0.08396
58,certain,sure,0.24065
59,essential,necessary,0.5222
60,different,normal,0.4093
61,sly,clever,0.28712
62,crucial,important,0.50875
63,harsh,cruel,0.18972
64,childish,foolish,0.31421
65,scarce,rare,0.27813
66,friendly,generous,0.09268
67,fragile,frigid,0.26634
68,long,narrow,0.55167
69,big,heavy,0.56486
70,rough,frigid,0.11616
71,bizarre,strange,0.4824
72,illegal,immoral,0.30074
73,bad,guilty,0.16931
74,modern,ancient,0.49202
75,new,ancient,0.48528
76,dull,funny,0.38059
77,happy,young,0.4513
78,easy,big,0.33468
79,great,awful,0.20593
80,tiny,huge,0.42365
81,polite,proper,0.17174
82,modest,ashamed,0.2108
83,exotic,rare,0.27298
84,dumb,clever,0.34298
85,delightful,wonderful,0.39742
86,noticeable,obvious,0.26063
87,afraid,anxious,0.50581
88,formal,proper,0.34428
89,dreary,dull,0.39856
90,delightful,cheerful,0.50904
91,unhappy,mad,0.17715
92,sad,terrible,0.38007
93,sick,crazy,0.30933
94,violent,angry,0.23125
95,laden,heavy,0.33278
96,dirty,cheap,0.22888
97,elastic,flexible,0.33503
98,hard,dense,0.43147
99,recent,new,0.65695
100,bold,proud,0.27319
101,sly,strange,0.4407
102,strange,sly,0.4407
